Date,Snow_Cover_Percentage,DSSM,NDVI_nonSR_Min,NDVI_nonSR_Median,NDVI_nonSR_Max,NEE_U50_f,VPD_f,TA,TA_min,TA_max,RG,RG_min,RG_max,RH,SWC_10cm,TS_10cm,D_SNOW,precipitation_rate,TA_lag1d,TA_lag3d,TA_lag7d,TA_lag14d,TS_lag1d,TS_lag3d,TS_lag7d,TS_lag14d,SWC_lag1d,SWC_lag3d,SWC_lag7d,SWC_lag14d,P_lag1d,P_lag3d,P_lag7d,P_lag14d
2020-06-21,0,4,0.11,0.24,0.34,,4.6,9.15,4.5,12.6,335.7,105.05,653.57,62.06,17.31,1.36,0.03,0.2,7.23,5.69,3.77,2.16,0.85,0.37,-0.13,-0.51,16.3,15.86,15.53,15.18,0.0,0.0,1.3,2.5
2020-06-22,0,5,0.11,0.24,0.34,,3.41,7.4,5.71,9.14,181.62,14.89,523.57,67.15,33.17,1.72,0.04,0.6,9.15,7.8,4.81,2.89,1.36,0.89,0.15,-0.34,17.31,16.46,15.84,15.36,0.2,0.2,0.2,2.7
2020-06-23,0,6,0.12,0.25,0.34,,1.77,6.36,4.18,8.95,49.39,-0.26,134.44,82.19,106.36,1.64,0.05,10.0,7.4,7.93,5.81,3.56,1.72,1.31,0.47,-0.14,33.17,22.26,18.4,16.68,0.6,0.8,0.8,3.3
2020-06-24,0,7,0.12,0.25,0.34,,0.89,3.66,0.84,6.1,52.76,14.46,134.59,89.49,113.15,1.06,0.05,0.9,6.36,7.64,6.11,3.93,1.64,1.57,0.78,0.04,106.36,52.28,31.4,23.23,10.0,10.8,10.8,13.3
2020-06-25,0,8,0.12,0.25,0.35,,0.39,2.4,0.74,4.31,168.6,25.52,403.63,94.86,112.79,1.33,0.03,0.0,3.66,5.81,6.24,4.17,1.06,1.47,0.99,0.19,113.15,84.23,45.37,30.25,0.9,11.5,11.7,14.2
2020-06-26,0,9,0.13,0.25,0.35,,0.12,1.39,-0.17,2.72,169.92,28.87,369.29,98.22,112.35,1.98,0.03,0.0,2.4,4.14,6.17,4.17,1.33,1.34,1.2,0.34,112.79,110.77,59.27,37.25,0.0,10.9,11.7,14.1
2020-06-27,0,10,0.13,0.25,0.35,,0.39,1.67,-0.77,5.09,298.54,34.55,659.42,94.99,111.69,2.33,0.02,0.0,1.39,2.48,5.37,4.18,1.98,1.46,1.42,0.54,112.35,112.76,73.06,44.21,0.0,0.9,11.7,14.1
2020-06-28,0,11,0.17,0.28,0.38,,0.62,2.35,-0.29,4.99,336.8,39.92,658.35,91.84,110.9,2.97,0.02,0.0,1.67,1.82,4.58,4.17,2.33,1.88,1.63,0.75,111.69,112.28,86.69,51.11,0.0,0.0,11.7,13.0
2020-06-29,0,12,0.2,0.32,0.43,,1.27,4.56,0.1,8.42,360.96,42.2,655.98,86.75,110.17,3.38,0.02,0.0,2.35,1.8,3.6,4.21,2.97,2.43,1.86,1.01,110.9,111.65,100.06,57.95,0.0,0.0,11.5,11.7
2020-06-30,0,13,0.26,0.38,0.48,-1.14,3.45,8.79,5.58,11.55,359.95,94.92,658.17,70.73,109.36,4.15,0.01,0.0,4.56,2.86,3.2,4.5,3.38,2.89,2.1,1.29,110.17,110.92,111.06,64.73,0.0,0.0,10.9,11.7
